Description;Name;ISIN;;;;
N Automobiles and Parts EUR GI;N4010EURGI;SE0004384600;;;;
N Banks EUR GI;N3010EURGI;SE0004384741;;;;
N Basic Materials EUR GI;N55EURGI;SE0004384535;;;;
N Construction and Materials EUR GI;N5010EURGI;SE0004384576;;;;
N Consumer Discretionary EUR GI;N40EURGI;SE0014556494;;;;
N Energy EUR GI ;N60EURGI;SE0004384519;;;;
N Financials EUR GI;N30EURGI;SE0004384733;;;;
N Health Care EUR GI;N20EURGI;SE0004384634;;;;
N Industrials EUR GI ;N50EURGI;SE0004384568;;;;
N Insurance EUR GI;N3030EURGI;SE0004384758;;;;
N Real Estate EUR GI;N35EURGI;SE0004384766;;;;
N Technology EUR GI;N10EURGI;SE0004384782;;;;
N Telecommunications EUR GI;N15EURGI;SE0004384691;;;;
N Travel and Leisure EUR GI;N4050EURGI;SE0004384683;;;;
N Utilities EUR GI;N65EURGI;SE0004384717;;;;
